,location_id,year,PAINDX2_yes_value,PAINDX2_yes_sample,PAINDX2_no_value,PAINDX2_no_sample,PASTAE2_yes_value,PASTAE2_yes_sample,PASTAE2_no_value,PASTAE2_no_sample,PASTRNG_yes_value,PASTRNG_yes_sample,PASTRNG_no_value,PASTRNG_no_sample,TOTINDA_yes_value,TOTINDA_yes_sample,TOTINDA_no_value,TOTINDA_no_sample
0,1,2015,44.6,3142.0,55.4,3883.0,16.7,1067.0,83.3,5889.0,25.8,1644.0,74.2,5543.0,68.1,4851,31.9,2418
1,1,2016,,,,,,,,,,,,,70.6,4835,29.4,2178
2,1,2017,42.8,2536.0,57.2,3416.0,16.1,827.0,83.9,5039.0,26.0,1377.0,74.0,4722.0,68.0,4043,32.0,2187
3,1,2018,,,,,,,,,,,,,69.3,4497,30.7,2080
4,1,2019,44.8,2885.0,55.2,3431.0,17.6,1041.0,82.4,5110.0,29.2,1759.0,70.8,4680.0,68.5,4483,31.5,2205
5,1,2020,,,,,,,,,,,,,71.2,3771,28.8,1565
6,1,2021,,,,,,,,,,,,,68.5,3037,31.5,1541
7,10,2015,48.5,1810.0,51.5,1819.0,20.3,681.0,79.7,2898.0,30.5,1032.0,69.5,2674.0,70.6,2626,29.4,1148
8,10,2016,,,,,,,,,,,,,73.4,2856,26.6,1197
9,10,2017,46.3,1683.0,53.7,1938.0,19.0,667.0,81.0,2897.0,28.6,1056.0,71.4,2667.0,69.0,2588,31.0,1215
10,10,2018,,,,,,,,,,,,,73.2,3678,26.8,1547
11,10,2019,51.1,1782.0,48.9,1664.0,23.8,810.0,76.2,2515.0,37.0,1272.0,63.0,2188.0,73.4,2635,26.6,1012
12,10,2020,,,,,,,,,,,,,75.3,2936,24.7,1085
13,10,2021,,,,,,,,,,,,,72.8,2647,27.2,981
14,11,2015,57.9,1970.0,42.1,1353.0,23.7,826.0,76.3,2449.0,33.6,1164.0,66.4,2304.0,80.6,2797,19.4,744
15,11,2016,,,,,,,,,,,,,83.8,3125,16.2,718
16,11,2017,53.0,1843.0,47.0,1653.0,24.0,791.0,76.0,2651.0,34.7,1170.0,65.3,2478.0,75.7,2770,24.3,961
17,11,2018,,,,,,,,,,,,,80.4,3518,19.6,870
18,11,2019,54.7,1275.0,45.3,936.0,27.2,614.0,72.8,1525.0,40.6,930.0,59.4,1352.0,81.0,1927,19.0,470
19,11,2020,,,,,,,,,,,,,81.9,2838,18.1,587
20,11,2021,,,,,,,,,,,,,84.2,2683,15.8,507
21,12,2015,51.6,4573.0,48.4,3770.0,21.8,1736.0,78.2,6496.0,31.9,2536.0,68.1,6012.0,73.8,6421,26.2,2265
22,12,2016,,,,,,,,,,,,,70.2,24620,29.8,12248
23,12,2017,49.5,9679.0,50.5,9801.0,20.5,3549.0,79.5,15586.0,30.0,5400.0,70.0,14393.0,70.8,13778,29.2,6487
24,12,2018,,,,,,,,,,,,,73.2,10722,26.8,4504
25,12,2019,54.5,7987.0,45.5,6803.0,27.0,3542.0,73.0,10674.0,38.1,5488.0,61.9,9364.0,73.5,11002,26.5,4680
26,12,2020,,,,,,,,,,,,,73.2,8367,26.8,3414
27,13,2015,48.0,2010.0,52.0,2050.0,18.7,703.0,81.3,3306.0,29.6,1106.0,70.4,3042.0,72.7,2998,27.3,1227
28,13,2016,,,,,,,,,,,,,70.6,3669,29.4,1703
29,13,2017,46.0,2382.0,54.0,2894.0,20.3,941.0,79.7,4259.0,31.4,1527.0,68.6,3850.0,69.0,3671,31.0,1827
30,13,2018,,,,,,,,,,,,,73.8,6802,26.2,2484
31,13,2019,48.3,3115.0,51.7,3262.0,24.1,1400.0,75.9,4732.0,38.2,2346.0,61.8,4088.0,72.1,4675,27.9,2105
32,13,2020,,,,,,,,,,,,,75.2,6470,24.8,2598
33,13,2021,,,,,,,,,,,,,76.3,5932,23.7,2237
34,15,2015,56.6,3802.0,43.4,2579.0,23.6,1509.0,76.4,4833.0,33.3,2081.0,66.7,4352.0,77.5,5064,22.5,1437
35,15,2016,,,,,,,,,,,,,79.2,6520,20.8,1566
36,15,2017,56.5,4206.0,43.5,2773.0,24.6,1746.0,75.4,5199.0,35.4,2428.0,64.6,4676.0,76.5,5625,23.5,1545
37,15,2018,,,,,,,,,,,,,80.1,6427,19.9,1471
38,15,2019,54.8,4170.0,45.2,2963.0,24.8,1857.0,75.2,5168.0,37.9,2701.0,62.1,4488.0,75.6,5612,24.4,1730
39,15,2020,,,,,,,,,,,,,80.8,6366,19.2,1386
40,15,2021,,,,,,,,,,,,,80.0,6285,20.0,1501
41,16,2015,55.3,2907.0,44.7,2262.0,21.3,1022.0,78.7,4093.0,29.9,1452.0,70.1,3832.0,78.8,4105,21.2,1255
42,16,2016,,,,,,,,,,,,,79.8,4016,20.2,1233
43,16,2017,54.8,2433.0,45.2,1985.0,23.3,944.0,76.7,3419.0,32.5,1339.0,67.5,3163.0,75.8,3414,24.2,1170
44,16,2018,,,,,,,,,,,,,79.5,2910,20.5,784
45,16,2019,56.8,2818.0,43.2,2002.0,21.7,968.0,78.3,3709.0,31.2,1457.0,68.8,3593.0,76.2,3928,23.8,1324
46,16,2020,,,,,,,,,,,,,79.5,4659,20.5,1315
47,16,2021,,,,,,,,,,,,,79.5,5217,20.5,1548
48,17,2015,49.8,2537.0,50.2,2323.0,21.3,1022.0,78.7,3821.0,31.5,1473.0,68.5,3419.0,75.2,3636,24.8,1288
49,17,2016,,,,,,,,,,,,,76.1,3591,23.9,1171
50,17,2017,52.5,2741.0,47.5,2330.0,21.6,1092.0,78.4,3948.0,30.7,1555.0,69.3,3548.0,76.0,3893,24.0,1262
51,17,2018,,,,,,,,,,,,,75.4,3989,24.6,1314
52,17,2019,49.5,2662.0,50.5,2487.0,23.4,1250.0,76.6,3809.0,37.1,1950.0,62.9,3223.0,74.4,3998,25.6,1305
53,17,2020,,,,,,,,,,,,,74.7,2798,25.3,886
54,17,2021,,,,,,,,,,,,,72.8,2380,27.2,822
55,18,2015,44.1,2529.0,55.9,2792.0,15.6,852.0,84.4,4412.0,27.0,1345.0,73.0,4114.0,70.6,3914,29.4,1639
56,18,2016,,,,,,,,,,,,,73.2,7835,26.8,3207
57,18,2017,46.4,5813.0,53.6,6385.0,17.2,1954.0,82.8,10083.0,27.2,3078.0,72.8,9399.0,70.2,8797,29.8,3911
58,18,2018,,,,,,,,,,,,,72.6,5273,27.4,2321
59,18,2019,46.3,3713.0,53.7,4070.0,21.1,1612.0,78.9,5847.0,35.2,2725.0,64.8,5183.0,69.1,5706,30.9,2650
60,18,2020,,,,,,,,,,,,,73.7,6104,26.3,2346
61,18,2021,,,,,,,,,,,,,74.1,7251,25.9,2648
62,19,2015,48.8,2772.0,51.2,2783.0,19.4,990.0,80.6,4526.0,29.8,1502.0,70.2,4188.0,73.7,4151,26.3,1596
63,19,2016,,,,,,,,,,,,,77.3,5429,22.7,1823
64,19,2017,50.2,3517.0,49.8,3384.0,19.2,1246.0,80.8,5570.0,28.9,1907.0,71.1,5124.0,75.0,5311,25.0,1834
65,19,2018,,,,,,,,,,,,,77.1,6934,22.9,2171
66,19,2019,48.3,4361.0,51.7,4552.0,20.0,1754.0,80.0,6918.0,32.9,2905.0,67.1,6143.0,73.5,6847,26.5,2551
67,19,2020,,,,,,,,,,,,,76.4,7323,23.6,2330
68,19,2021,,,,,,,,,,,,,75.3,7062,24.7,2543
69,2,2015,58.3,1936.0,41.7,1336.0,24.2,734.0,75.8,2485.0,34.1,1019.0,65.9,2321.0,78.0,2648,22.0,772
70,2,2016,,,,,,,,,,,,,80.9,2317,19.1,593
71,2,2017,58.3,1658.0,41.7,1210.0,24.2,619.0,75.8,2198.0,34.7,886.0,65.3,2041.0,79.4,2300,20.6,696
72,2,2018,,,,,,,,,,,,,80.4,2181,19.6,574
73,2,2019,56.7,1642.0,43.3,1039.0,25.6,716.0,74.4,1888.0,37.6,1020.0,62.4,1683.0,78.3,2236,21.7,583
74,2,2020,,,,,,,,,,,,,78.7,2834,21.3,827
75,2,2021,,,,,,,,,,,,,79.7,4313,20.3,1168
76,20,2015,50.0,10233.0,50.0,9858.0,19.3,3678.0,80.7,16199.0,29.0,5493.0,71.0,15024.0,73.5,15153,26.5,5698
77,20,2016,,,,,,,,,,,,,76.5,9134,23.5,3023
78,20,2017,49.3,9505.0,50.7,9524.0,19.0,3384.0,81.0,15354.0,28.5,5231.0,71.5,14302.0,72.1,14188,27.9,5721
79,20,2018,,,,,,,,,,,,,77.5,8215,22.5,2591
80,20,2019,48.3,5053.0,51.7,5057.0,20.8,2060.0,79.2,7802.0,33.4,3367.0,66.6,7002.0,72.9,7782,27.1,2947
81,20,2020,,,,,,,,,,,,,78.0,8131,22.0,2382
